animeID,title,genres
40392,Runway de Waratte,"Drama,School,Shounen,Slice of Life"
40392,Runway de Waratte,"Drama,School,Shounen,Slice of Life"
40389,Uchuu Senkan Yamato 2205: Aratanaru Tabidachi,"Action,Military,Sci-Fi,Space,Drama"
40389,Uchuu Senkan Yamato 2205: Aratanaru Tabidachi,"Action,Military,Sci-Fi,Space,Drama"
40385,Chikai,Slice of Life
40383,"Umete,Bye-Bye","Music,Dementia"
40378,Witch Hat: Majo to Boushi no Waltz,"Music,Horror,Supernatural"
40377,Robot Atom,"Kids,Mecha,Sci-Fi"
40376,Terrace House x Craft Boss,Slice of Life
40375,Kick-Flight,"Game,Music"
40373,"Fly feat. 79,Kaho Nakamura",Music
40372,Haikyuu!! (OVA),"Sports,Shounen"
40372,Haikyuu!! (OVA),"Sports,Shounen"
40369,Mini Yuri,"Slice of Life,Comedy,School,Shoujo Ai"
40368,Egg Car,"Adventure,Comedy,Kids,Fantasy"
40367,Go! Go! Atom,"Action,Adventure,Drama,Kids,Mecha,Sci-Fi"
40366,Three Workers,Music
40365,Ryoku Tama Shinshi: 10 Short Stories,"Comedy,Demons"
40364,Takaramono,"Music,Slice of Life"
40363,RoboCop,"Dementia,Music"
40361,Shiro no Kangaroo no Uta,"Music,Kids"
40360,Shout Our Evidence!,Music
40359,Ikebukuro West Gate Park,"Mystery,Drama,Romance"
40359,Ikebukuro West Gate Park,"Mystery,Drama,Romance"
40358,Gal to Kyouryuu,"Comedy,Seinen,Slice of Life"
40357,Tate no Yuusha no Nariagari 3rd Season,"Action,Adventure,Drama,Fantasy"
40357,Tate no Yuusha no Nariagari 3rd Season,"Action,Adventure,Drama,Fantasy"
40356,Tate no Yuusha no Nariagari 2nd Season,"Action,Adventure,Drama,Fantasy"
40356,Tate no Yuusha no Nariagari 2nd Season,"Action,Adventure,Drama,Fantasy"
40353,Midnight Run feat. Nana Furuya,"Dementia,Music"
40351,Pokemon (2019),"Action,Adventure,Comedy,Kids,Fantasy"
40350,Ganba! Fly High,"Action,Sports,Shounen"
40349,Shounen Sunday CM: All-Star Total Appearance,"Comedy,Sports,Shounen"
40348,Detective Conan,"Mystery,Shounen"
40347,Kekkaishi,"Demons,Supernatural,Fantasy,Shounen"
40346,Tuxedo Gin,"Comedy,Supernatural,Shounen"
40345,Devil & Devil,"Action,Comedy,Super Power,Demons,Supernatural,Shounen"
40344,Baumkuchen End,Music
40342,Taka no Tsume-dan x Uchicomi!,"Comedy,Parody,Slice of Life"
40341,ARMS,"Sci-Fi,Super Power,Shounen"
40340,Karakuri Circus,"Action,Mystery,Shounen"
40338,Iro wo Kuu Akuma,"Dementia,Music"
40337,Aibeya The Animation,Hentai
40337,Aibeya The Animation,Hentai
40336,Love x Holic: Miwaku no Otome to Hakudaku Kankei - The Animation,"Hentai,Demons,Supernatural,Fantasy"
40336,Love x Holic: Miwaku no Otome to Hakudaku Kankei - The Animation,"Hentai,Demons,Supernatural,Fantasy"
40335,Kimi dake ni Motetainda.,"Slice of Life,Drama,School"
40334,Code Geass: Hangyaku no Lelouch Picture Drama - Kiseki no Anniversary,"Slice of Life,School"
40333,Uzumaki,"Dementia,Drama,Horror,Psychological,Romance,Seinen,Supernatural"
40333,Uzumaki,"Dementia,Drama,Horror,Psychological,Romance,Seinen,Supernatural"
40332,Kyochuu Rettou Movie,Horror
40332,Kyochuu Rettou Movie,Horror
40331,Ongaku,"Music,Slice of Life"
40331,Ongaku,"Music,Slice of Life"
40329,Crayon Shin-chan Movie 28: Gekitotsu! Rakugaki Kingdom to Hobo Yonin no Yuusha,"Comedy,Seinen"
40327,Mewkledreamy,"Adventure,Fantasy,Kids"
40327,Mewkledreamy,"Adventure,Fantasy,Kids"
40323,Gintama: Monster Strike-hen,"Action,Comedy,Parody,Samurai"
40321,Ookami to Koushinryou VR 2,"Adventure,Historical,Fantasy"
40321,Ookami to Koushinryou VR 2,"Adventure,Historical,Fantasy"
40320,Tenka Hyakken: Meiji-kan e Youkoso!,"Action,Adventure,Historical,Supernatural,Martial Arts,Fantasy"
40316,Phantomi: Mini Anime,"Magic,Shoujo"
40315,Code Geass: Fukkatsu no Lelouch - Shinkai no Kakera,Comedy
40314,Sekaiichi Hatsukoi: Propose-hen,"Comedy,Drama,Romance,Shounen Ai"
40314,Sekaiichi Hatsukoi: Propose-hen,"Comedy,Drama,Romance,Shounen Ai"
40313,Promare: Lio-hen,"Action,Sci-Fi,Super Power,Mecha"
40312,Southpaw,"Music,Comedy,Dementia"
40305,Subarashiki Kokka no Kizukikata,Hentai
40305,Subarashiki Kokka no Kizukikata,Hentai
40304,Its a Small World,Music
40302,Ninja Bugei-chou Pilot Film,"Action,Historical,Samurai,Seinen"
40301,Bomberman: Yuuki wo Arigatou - Watashi ga Mimi ni Naru,"Drama,Game,Kids"
40299,Gokiburi-chan,Kids
40298,Youjo Senki Movie: Manner Eizou,"Military,Parody"
40295,Another World,Sci-Fi
40294,Karakuri Piero wo Utattemita,Music
40293,Romeo to Cinderalla wo Utattemita,Music
40292,Alien Alien wo Utattemita,Music
40291,Lost One no Goukoku wo Utattemita,Music
40288,Seven Nation Army feat. Chara,Music
40286,Relationship Scramble feat. Hatsune Miku,"Music,Romance"
40286,Relationship Scramble feat. Hatsune Miku,"Music,Romance"
40283,Role Playing Soldier,"Action,Fantasy,Game,Music"
40282,Nendo no Tatakai (2019),"Action,Comedy"
40280,Toaru Kagaku no Accelerator: Tobidase Ippou-san Hachamecha Kaishingeki,"Super Power,Supernatural"
40272,A3! Season Autumn & Winter,Music
40269,Kengan Ashura 2nd Season,"Action,Martial Arts"
40269,Kengan Ashura 2nd Season,"Action,Martial Arts"
40269,Kengan Ashura 2nd Season,"Action,Martial Arts"
40267,Wave!!,"Slice of Life,Sports"
40267,Wave!!,"Slice of Life,Sports"
40266,Aikatsu on Parade!,"Music,Slice of Life,School,Shoujo"
40262,Haikyuu!!: Riku vs. Kuu,"Comedy,Sports,Drama,School,Shounen"
40262,Haikyuu!!: Riku vs. Kuu,"Comedy,Sports,Drama,School,Shounen"
40256,Cannon Busters,"Action,Sci-Fi,Adventure,Fantasy,Mecha"
40255,Urban Caravan,Music
40254,XL Joushi.,"Romance,Ecchi,Josei"
40252,Yumekui Shoujo,"Music,Fantasy"
40251,Cyborg 009: The Cyborg Soldier - Kami no Ubugoe,"Action,Sci-Fi,Adventure,Mecha,Shounen"
40250,Cyborg 009: The Cyborg Soldier - Yomi no Gunzou,"Action,Sci-Fi,Adventure,Mecha,Shounen"
40245,Mitaiken Horizon,Music
40244,Fushigi no Kuni no Alice Specials,"Adventure,Kids,Fantasy"
40242,Idomo,"Adventure,Fantasy"
40242,Idomo,"Adventure,Fantasy"
40239,Arifureta Shokugyou de Sekai Saikyou Recap,"Action,Adventure,Harem,Fantasy"
40238,Yumemi no E,Historical
40237,Tansui,Dementia
40233,Da Zhu Zai,"Action,Adventure,Historical,Romance,Martial Arts,Fantasy"
40230,Housekishou Richard-shi no Nazo Kantei,Mystery
40230,Housekishou Richard-shi no Nazo Kantei,Mystery
40228,Bananya: Fushigi na Nakama-tachi,"Slice of Life,Comedy,Kids"
40223,Qing Chi Hong Xiaodou Ba! Wai Zhuan: Mo Xiang Wang,"Slice of Life,Comedy,Historical,Drama"
40222,Agitation!,Music
40217,Naedoko Demons Ground,"Hentai,Demons,Fantasy"
40217,Naedoko Demons Ground,"Hentai,Demons,Fantasy"
40215,Aggressive Retsuko (ONA) 3rd Season,"Comedy,Slice of Life"
40212,Shigokare: Ecchi na Joshi Daisei to Doki x2 Love Lesson!! The Animation,Hentai
40212,Shigokare: Ecchi na Joshi Daisei to Doki x2 Love Lesson!! The Animation,Hentai
40211,Luo Xiao Hei Zhan Ji (Movie),"Drama,Supernatural"
40211,Luo Xiao Hei Zhan Ji (Movie),"Drama,Supernatural"
40210,Yorugao,"Kids,Music"
40209,Subarashii Shigoto,Dementia
40206,Fate/Grand Order: Zettai Majuu Sensen Babylonia - Initium Iter,"Action,Supernatural,Magic,Fantasy"
40205,Kabushikigaisha G-anime Saiyou Concept Movie,Slice of Life
40204,Fast Week,Dementia
40202,Kamo ga Suki,"Comedy,Dementia"
40200,Paprika (Music),"Music,Kids"
40197,Urashimasakatasen no Nichijou,"Slice of Life,Comedy,School"
40196,Kandagawa Jet Girls,"Sports,Ecchi"
40194,Kung Fu Liaoli Niang,"Action,Ecchi,Martial Arts,Fantasy"
40192,Gundam Build Divers Re:Rise,"Action,Sci-Fi,Mecha"
40188,Malta no Utaou,"Kids,Music"
